Name,Attendance/Record,Class,Day,Date,Edits,From/To,Topics,Type,day
OOPS Lab,Attended,Object Oriented Programming Lab,Tuesday,17/08/2021,,,"Class, Objects",📒 Lesson,
Economics,Rescheduled,Economics,Thursday,19/08/2021,,,,📒 Lesson,
DSA,Cancelled,Data Structures and Algorithms,Monday,16/08/2021,,,Introduction,📒 Lesson,
DC,Attended,Data Communication,Friday,20/08/2021,,,"Account Object, Box Object, Dog Object",📒 Lesson,
DSA Lab,Cancelled,Data Structures and Algorithms Lab,Friday,20/08/2021,,,,📒 Lesson,
,,,,,,,,,
CSA,,Computer System Architecture,Monday,23/08/2021,,,,📒 Lesson,
DSA,,Data Structures and Algorithms,Tuesday,24/08/2021,,,,📒 Lesson,
OOPS,,Object Oriented Programming,Wednesday,25/08/2021,,,,📒 Lesson,
CSA,,Computer System Architecture,Friday,27/08/2021,,,,📒 Lesson,
CSA,,Computer System Architecture,Tuesday,24/08/2021,,,,📒 Lesson,
DSA,,Data Structures and Algorithms,Wednesday,25/08/2021,,,,📒 Lesson,
OOPS Lab,,Object Oriented Programming Lab,Thursday,26/08/2021,,,,📒 Lesson,
Economics,,Economics,Friday,27/08/2021,,,,📒 Lesson,
OOPS,,Object Oriented Programming,Monday,23/08/2021,,,,📒 Lesson,
EM - III,,Engineering Mathematics 5,Tuesday,24/08/2021,,,,📒 Lesson,
CSA,,Computer System Architecture,Wednesday,25/08/2021,,,,📒 Lesson,
EM - III,,Engineering Mathematics 5,Friday,27/08/2021,,,,📒 Lesson,
Economics,,Economics,Monday,23/08/2021,,,,📒 Lesson,
DC,,Data Communication,Friday,27/08/2021,,,,📒 Lesson,
OOPS,,Object Oriented Programming,Monday,23/08/2021,,,,📒 Lesson,
DSA Lab,,Data Structures and Algorithms Lab,Tuesday,24/08/2021,,,,📒 Lesson,
DSA,,Data Structures and Algorithms,Wednesday,25/08/2021,,,,📒 Lesson,
DC,,Data Communication,Monday,23/08/2021,,,,📒 Lesson,
OOPS,,Object Oriented Programming,Tuesday,24/08/2021,,,,📒 Lesson,
DC,,Data Communication,Wednesday,25/08/2021,,,,📒 Lesson,
EM - III,,Engineering Mathematics 5,Monday,23/08/2021,,,,📒 Lesson,
OOPS Lab,,Object Oriented Programming Lab,Tuesday,24/08/2021,,,,📒 Lesson,
Economics,,Economics,Thursday,26/08/2021,,,,📒 Lesson,
DSA,,Data Structures and Algorithms,Monday,23/08/2021,,,,📒 Lesson,
DC,,Data Communication,Friday,27/08/2021,,,,📒 Lesson,
DSA Lab,,Data Structures and Algorithms Lab,Friday,27/08/2021,,,,📒 Lesson,
,,,,,,,,,
CSA,,Computer System Architecture,Monday,30/08/2021,,,,📒 Lesson,
DSA,,Data Structures and Algorithms,Tuesday,31/08/2021,,,,📒 Lesson,
OOPS,,Object Oriented Programming,Wednesday,01/09/2021,,,,📒 Lesson,
CSA,,Computer System Architecture,Friday,03/09/2021,,,,📒 Lesson,
CSA,,Computer System Architecture,Tuesday,31/08/2021,,,,📒 Lesson,
DSA,,Data Structures and Algorithms,Wednesday,01/09/2021,,,,📒 Lesson,
OOPS Lab,,Object Oriented Programming Lab,Thursday,02/09/2021,,,,📒 Lesson,
Economics,,Economics,Friday,03/09/2021,,,,📒 Lesson,
OOPS,,Object Oriented Programming,Monday,30/08/2021,,,,📒 Lesson,
EM - III,,Engineering Mathematics 6,Tuesday,31/08/2021,,,,📒 Lesson,
CSA,,Computer System Architecture,Wednesday,01/09/2021,,,,📒 Lesson,
EM - III,,Engineering Mathematics 6,Friday,03/09/2021,,,,📒 Lesson,
Economics,,Economics,Monday,30/08/2021,,,,📒 Lesson,
DC,,Data Communication,Friday,03/09/2021,,,,📒 Lesson,
OOPS,,Object Oriented Programming,Monday,30/08/2021,,,,📒 Lesson,
DSA Lab,,Data Structures and Algorithms Lab,Tuesday,31/08/2021,,,,📒 Lesson,
DSA,,Data Structures and Algorithms,Wednesday,01/09/2021,,,,📒 Lesson,
DC,,Data Communication,Monday,30/08/2021,,,,📒 Lesson,
OOPS,,Object Oriented Programming,Tuesday,31/08/2021,,,,📒 Lesson,
DC,,Data Communication,Wednesday,01/09/2021,,,,📒 Lesson,
